Pattern,Text,Cause,Connector,Effect
(.*) so (.*?) that (.*),There is so much to know about our home planet that most geologists become specialists in one area.,There is,much to know about our home planet,most geologists become specialists in one area.
(.*?) as (.*),"Much of the material eroded by runoff is carried into bodies of water, such as streams, rivers, ponds, lakes, or oceans.","Much of the material eroded by runoff is carried into bodies of water, such","streams, rivers, ponds, lakes, or oceans."
(.*?) so (.*),Thats because it occurs over so much of Earths surface.,Thats because it occurs over,much of Earths surface.
(.*?)(?:by|through) (.*),The size of particles determines how they are carried by flowing water.,The size of particles determines how they are carried ,flowing water.
(.*?) as (.*),"Small particles, such as clay and silt, are carried in suspension.","Small particles, such","clay and silt, are carried in suspension."
(.*?) as (.*),"Somewhat bigger particles, such as sand, are moved by saltation.","Somewhat bigger particles, such","sand, are moved by saltation."
(.*?)(?:by|through) (.*),They are nudged along by water and other particles.,They are nudged along ,water and other particles.
(.*?)(?:by|through) (.*),"The biggest particles, including gravel and pebbles, are moved by traction.","The biggest particles, including gravel and pebbles, are moved ",traction.
(.*?)(?:by|through) (.*),"The ability to erode is affected by the velocity, or speed, of the water.",The ability to erode is affected ,"the velocity, or speed, of the water."
(.*?)(?:by|through) (.*),All waves are the way energy travels through matter.,All waves are the way energy travels ,matter.
(.*?)(?:by|through) (.*),Ocean waves are energy traveling through water.,Ocean waves are energy traveling ,water.
(.*?)(?:by|through) (.*),"Then, the energy is carried through the water by the waves.","Then, the energy is carried ",the water by the waves.
(.*?)(?:by|through) (.*),Sediment is moved up the beach by an incoming wave.,Sediment is moved up the beach ,an incoming wave.
(.*?)(?:by|through) (.*),The sediment is again picked up by a wave that is coming in at an angle.,The sediment is again picked up ,a wave that is coming in at an angle.
(.*?) as (.*),"The smallest particles, such as silt and clay, are deposited away from shore.","The smallest particles, such","silt and clay, are deposited away from shore."
(.*?)(?:by|through) (.*),Valley glaciers form several unique features through erosion.,Valley glaciers form several unique features ,erosion.
(.*?)(?:by|through) (.*),"As a valley glacier flows through a V-shaped river valley, it scrapes away the sides of the valley.",As a valley glacier flows ,"a V-shaped river valley, it scrapes away the sides of the valley."
(.*?)(?:by|through) (.*),A cirque is a rounded hollow carved in the side of a mountain by a glacier.,A cirque is a rounded hollow carved in the side of a mountain ,a glacier.
(.*?)(?:by|through) (.*),Moraine is sediment deposited by a glacier.,Moraine is sediment deposited ,a glacier.
(.*?)(?:by|through) (.*),A ground moraine is a thick layer of sediments left behind by a retreating glacier.,A ground moraine is a thick layer of sediments left behind ,a retreating glacier.
(.*?)(?:by|through) (.*),"A drumlin is a long, low hill of sediments deposited by a glacier.","A drumlin is a long, low hill of sediments deposited ",a glacier.
(.*?)(?:by|through) (.*),An esker is a winding ridge of sand deposited by a stream of meltwater.,An esker is a winding ridge of sand deposited ,a stream of meltwater.
(.*?)(?:by|through) (.*),Each type forms some unique features through erosion and deposition.,Each type forms some unique features ,erosion and deposition.
(.*?)(?:by|through) (.*),Valley glaciers form in mountains and flow downhill through mountain river valleys.,Valley glaciers form in mountains and flow downhill ,mountain river valleys.
(.*?)(?:by|through) (.*),Plucking is the process by which rocks and other sediments are picked up by a glacier.,Plucking is the process ,which rocks and other sediments are picked up by a glacier.
(.*?)(?:by|through) (.*),They freeze to the bottom of the glacier and are carried away by the flowing ice.,They freeze to the bottom of the glacier and are carried away ,the flowing ice.
(.*) so that (.*),The original organism is preserved so that scientists might be able to study its DNA.,The original organism is preserved,scientists might be able to study its DNA.
(.*?)(?:by|through) (.*),The remains are replaced by minerals.,The remains are replaced ,minerals.
(.*?)(?:by|through) (.*),The process by which remains or traces of living things become fossils is called fossilization.,The process ,which remains or traces of living things become fossils is called fossilization.
(.*?) as (.*),"Most preserved remains are hard parts, such as teeth, bones, or shells.","Most preserved remains are hard parts, such","teeth, bones, or shells."
(.*?)(?:by|through) (.*),Remains also may be broken down by other living things or by the elements.,Remains also may be broken down ,other living things or by the elements.
(.*?) as (.*),"Hard parts, such as bones, are much more likely to become fossils.","Hard parts, such","bones, are much more likely to become fossils."
(.*?) for (.*),Index fossils are the most useful for this.,Index fossils are the most useful,this.
(.*?) for (.*),They lived for a fairly short period of time.,They lived,a fairly short period of time.
(.*?) if (.*),"They may cover very broad areas, especially if they formed at the bottom of ancient seas.","They may cover very broad areas, especially",they formed at the bottom of ancient seas.
(.*?) so (.*),"The matching rock layers were deposited at the same time, so they are the same age.","The matching rock layers were deposited at the same time,",they are the same age.
(.*?)(?:by|through) (.*),Geologists can learn a lot about Earths history by studying sedimentary rock layers.,Geologists can learn a lot about Earths history ,studying sedimentary rock layers.
(.*?)(?:by|through) (.*),The unconformity was discovered by James Hutton in the 1700s.,The unconformity was discovered ,James Hutton in the 1700s.
(.*?) (?:indicate|indicates|indicated|realize|realizes|realized|ensure|ensures|ensured|imply|implies|implied) (.*),He realized that for both to occur would take an extremely long time.,He,that for both to occur would take an extremely long time.
(.*?) (?:indicate|indicates|indicated|realize|realizes|realized|ensure|ensures|ensured|imply|implies|implied) (.*),This made him realize that Earth must be much older than people thought.,This made him,that Earth must be much older than people thought.
(.*?) for (.*),It meant there was enough time for life to evolve gradually.,It meant there was enough time,life to evolve gradually.
(.*?) as (.*),Refer to the figure as you read about the laws below.,Refer to the figure,you read about the laws below.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),"Relative age means age in comparison with other rocks, either younger or older.",Relative age,"age in comparison with other rocks, either younger or older."
(.*?) for (.*),The relative ages of rocks are important for understanding Earths history.,The relative ages of rocks are important,understanding Earths history.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),Phanero- zoic means visible life.,Phanero- zoic,visible life.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),The Cenozoic Era means new life.,The Cenozoic Era,new life.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),The Mesozoic means middle life.,The Mesozoic,middle life.
(.*?) if (.*),But what if rock layers are far apart?,But what,rock layers are far apart?
(.*?) if (.*),What if they are on different continents?,What,they are on different continents?
(.*) so (.*?) that (.*),The rock is so soft that the Channel Tunnel connecting England and France was carved into it!,The rock is,soft,the Channel Tunnel connecting England and France was carved into it!
(.*?) for (.*),"The Jurassic Period is named for the Jura Mountains in France and Switzerland, for example.",The Jurassic Period is named,"the Jura Mountains in France and Switzerland, for example."
(.*) (?:lead|leads|led) to (.*),It also led to the hypothesis that a giant asteroid struck Earth and caused the dinosaurs to go extinct.,It also,the hypothesis that a giant asteroid struck Earth and caused the dinosaurs to go extinct.
(.*?) for (.*),It lasted for about 55 million years.,It lasted,about 55 million years.
(.*?)(?:by|through) (.*),An element is defined by the number of protons it contains.,An element is defined ,the number of protons it contains.
(.*?) as (.*),Consider carbon as an example.,Consider carbon,an example.
(.*?) as (.*),So the organism contains less and less carbon-14 as time goes on.,So the organism contains less and less carbon-14,time goes on.
(.*?)(?:by|through) (.*),We can estimate the amount of carbon-14 that has decayed by measuring the amount of carbon-14 to carbon-12.,We can estimate the amount of carbon-14 that has decayed ,measuring the amount of carbon-14 to carbon-12.
(.*?) for (.*),"14 dating is useful for specimens younger than 50,000 years old.",14 dating is useful,"specimens younger than 50,000 years old."
(.*?) for (.*),But radiocarbon dating is very useful for more recent events.,But radiocarbon dating is very useful,more recent events.
(.*?) for (.*),This rate is different for each isotope pair.,This rate is different,each isotope pair.
(.*?) for (.*),The half-life is the time it takes for half of a given amount of an isotope to decay.,The half-life is the time it takes,half of a given amount of an isotope to decay.
(.*?) for (.*),This model for how the Moon formed is the best fit of all of the data scientists have about the Moon.,This model,how the Moon formed is the best fit of all of the data scientists have about the Moon.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),This means that the collision happened about 70 million years after Earth formed.,This,that the collision happened about 70 million years after Earth formed.
(.*) so (.*?) that (.*),It was so hot that nuclear fusion reactions began.,It was,hot,nuclear fusion reactions began.
(.*) so (.*?) that (.*),Conditions were so hot that gases were not stable.,Conditions were,hot,gases were not stable.
(.*?) as (.*),Liquid water could fall to Earths surface as rain.,Liquid water could fall to Earths surface,rain.
(.*?) as (.*),Water began to cycle on Earth as water evaporated from the oceans and returned again as rainfall.,Water began to cycle on Earth,water evaporated from the oceans and returned again as rainfall.
(.*?) as (.*),These organisms may have been around as far back as 3.5 billion years and are still alive today,These organisms may have been around,far back as 3.5 billion years and are still alive today
(.*?) for (.*),They are common in lakes and seas and account for 20% to 30% of photosynthesis today.,They are common in lakes and seas and account,20% to 30% of photosynthesis today.
(.*?)(?:by|through) (.*),"Prokaryotic cells are surrounded by a cell membrane, but they do not have a nucleus.",Prokaryotic cells are surrounded ,"a cell membrane, but they do not have a nucleus."
(.*?) so (.*),"Scientists think that three supercontinents came before Rodina, making five so far in Earth history.","Scientists think that three supercontinents came before Rodina, making five",far in Earth history.
(.*?)(?:by|through) (.*),These are the fossils discovered by Walcott in the introduction to the next section.,These are the fossils discovered ,Walcott in the introduction to the next section.
(.*?) so (.*),Eukaryotes were better able to live and so became the dominant life form.,Eukaryotes were better able to live and,became the dominant life form.
(.*?) for (.*),Thats why the chemical formula for water is H2 O.,Thats why the chemical formula,water is H2 O.
(.*?) so (.*),"If water is so simple, why is it special?",If water is,"simple, why is it special?"
(.*?) as (.*),"Water occurs as a gas, a liquid and a solid.",Water occurs,"a gas, a liquid and a solid."
(.*?) for (.*),Each water molecule has probably been around for billions of years.,Each water molecule has probably been around,billions of years.
(.*?) because (.*),Thats because Earths water is constantly recycled.,Thats,Earths water is constantly recycled.
(.*?) because (.*),Thats because oceans cover much of Earths surface.,Thats,oceans cover much of Earths surface.
(.*?) as (.*),Water keeps changing state as it goes through the water cycle.,Water keeps changing state,it goes through the water cycle.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),"This means that it can be a solid, liquid, or gas.",This,"that it can be a solid, liquid, or gas."
(.*?)(?:by|through) (.*),How does it keep moving through the cycle?,How does it keep moving ,the cycle?
(.*?) so (.*),Most evaporation is from the oceans because they cover so much area.,Most evaporation is from the oceans because they cover,much area.
(.*?) because (.*),Transpiration is like evaporation because it changes liquid water to water vapor.,Transpiration is like evaporation,it changes liquid water to water vapor.
(.*?)(?:by|through) (.*),"In transpiration, plants release water vapor through their leaves.","In transpiration, plants release water vapor ",their leaves.
(.*?) as (.*),The water falls as rain if the air is warm.,The water falls,rain if the air is warm.
(.*?) as (.*),"If the air is cold, the water may freeze and fall as snow, sleet, or hail.","If the air is cold, the water may freeze and fall","snow, sleet, or hail."
(.*?)(?:by|through) (.*),Infiltration is the process by which water soaks into the ground.,Infiltration is the process ,which water soaks into the ground.
(.*?)(?:by|through) (.*),Water is recycled through the water cycle.,Water is recycled ,the water cycle.
(.*?)(?:by|through) (.*),"The water cycle is the movement of water through the oceans, atmo- sphere, land, and living things.",The water cycle is the movement of water ,"the oceans, atmo- sphere, land, and living things."
(.*?)(?:by|through) (.*),The water cycle is powered by energy from the Sun.,The water cycle is powered ,energy from the Sun.
(.*?)(?:by|through) (.*),A brook babbles through a forest.,A brook babbles ,a forest.
(.*?)(?:by|through) (.*),A river slowly meanders through a broad valley.,A river slowly meanders ,a broad valley.
(.*?)(?:by|through) (.*),"All of the land drained by a river system is called its basin, or watershed.",All of the land drained ,"a river system is called its basin, or watershed."
(.*?)(?:by|through) (.*),One river systems basin is separated from another river systems basin by a divide.,One river systems basin is separated from another river systems basin ,a divide.
(.*?)(?:by|through) (.*),The divide is created by the highest points between the two river basins.,The divide is created ,the highest points between the two river basins.
(.*?)(?:by|through) (.*),You can watch an animation of water flowing through a river basin at this link: http://trashfree.org/btw/graphics/watershed_anim.gif,You can watch an animation of water flowing ,a river basin at this link: http://trashfree.org/btw/graphics/watershed_anim.gif
(.*?) as (.*),"A stream or river probably ends when it flows into a body of water, such as a lake or an ocean.","A stream or river probably ends when it flows into a body of water, such",a lake or an ocean.
(.*?) why (.*),The same principle explains why water collects in ponds and lakes.,The same principle explains,water collects in ponds and lakes.
(.*?) so (.*),"Water travels downhill, so a depression in the ground fills with standing water.","Water travels downhill,",a depression in the ground fills with standing water.
(.*) so (.*?) that (.*),The water in a large lake may be so deep that sunlight cannot penetrate all the way to the bottom.,The water in a large lake may be,deep,sunlight cannot penetrate all the way to the bottom.
(.*?) because (.*),Thats because plants need sunlight for photosynthesis.,Thats,plants need sunlight for photosynthesis.
(.*?) as (.*),Some falls directly into them as precipitation.,Some falls directly into them,precipitation.
(.*?) as (.*),Some enters as runoff and some from streams and rivers.,Some enters,runoff and some from streams and rivers.
(.*?) as (.*),Water leaves ponds and lakes through evaporation and also as outflow.,Water leaves ponds and lakes through evaporation and also,outflow.
(.*?) for (.*),"The Great Lakes, for example, are glacial lakes.","The Great Lakes,","example, are glacial lakes."
(.*?) as (.*),"Over time, water enters the lake from the sources mentioned above as well.","Over time, water enters the lake from the sources mentioned above",well.
(.*?) as (.*),"It has grassy plants, such as cattails.","It has grassy plants, such",cattails.
(.*?) so (.*),Why are wetlands so important?,Why are wetlands,important?
(.*?) so (.*),"Because so much wetland area has been lost, many of these species are endangered.",Because,"much wetland area has been lost, many of these species are endangered."
(.*) so (.*?) that (.*),A flood occurs when so much water enters a stream or river that it overflows its banks.,A flood occurs when,much water enters a stream or river,it overflows its banks.
(.*?)(?:by|through) (.*),"Like this flood, many floods are caused by very heavy rains.","Like this flood, many floods are caused ",very heavy rains.
(.*?) as (.*),Most groundwater does not flow out of an aquifer as a spring or geyser.,Most groundwater does not flow out of an aquifer,a spring or geyser.
(.*?)(?:by|through) (.*),A well is a hole that is dug or drilled through the ground down to an aquifer.,A well is a hole that is dug or drilled ,the ground down to an aquifer.
(.*?) for (.*),People have depended on water from wells for thousands of years.,People have depended on water from wells,thousands of years.
(.*?) because (.*),To bring water to the surface takes energy because the force of gravity must be overcome.,To bring water to the surface takes energy,the force of gravity must be overcome.
(.*?) as (.*),Pressure builds up as more water seeps into the spaces.,Pressure builds up,more water seeps into the spaces.
(.*) (?:lead|leads|led) to (.*),This leads to another eruption.,This,another eruption.
(.*?) as (.*),"During each eruption, it may release as much as 30,000 liters of water!","During each eruption, it may release","much as 30,000 liters of water!"
(.*?) as (.*),Groundwater dissolves minerals out of the rock as it seeps through the pores.,Groundwater dissolves minerals out of the rock,it seeps through the pores.
(.*?) because (.*),The water in some springs is hot because it is heated by hot magma.,The water in some springs is hot,it is heated by hot magma.
(.*?) because (.*),Thats because hot water can dissolve more minerals than cold water.,Thats,hot water can dissolve more minerals than cold water.
(.*?)(?:by|through) (.*),The lake basin was carved by a glacier.,The lake basin was carved ,a glacier.
(.*?) for (.*),Many aquifers are used by people for freshwater.,Many aquifers are used by people,freshwater.
(.*?)(?:by|through) (.*),Pollutants can seep down through porous rock in recharge water.,Pollutants can seep down ,porous rock in recharge water.
(.*?) as (.*),An aquifer that is used by people may not be recharged as quickly as its water is removed.,An aquifer that is used by people may not be recharged,quickly as its water is removed.
(.*?) as (.*),"Aquifers are generally found in porous rock, such as sandstone.","Aquifers are generally found in porous rock, such",sandstone.
(.*?) because (.*),Water infiltrates the ground because soil and rock are porous.,Water infiltrates the ground,soil and rock are porous.
(.*?)(?:by|through) (.*),Since water can move through this rock it is permeable.,Since water can move ,this rock it is permeable.
(.*?) so (.*),"Eventually, the water reaches a layer of rock that is not porous and so is impermeable.","Eventually, the water reaches a layer of rock that is not porous and",is impermeable.
(.*?) because (.*),It cannot seep any deeper into the ground because the rock below it is impermeable.,It cannot seep any deeper into the ground,the rock below it is impermeable.
(.*?) for (.*),Early Earth was too hot for liquid water to exist.,Early Earth was too hot,liquid water to exist.
(.*?) as (.*),Earths early years were spent as molten rock and metal.,Earths early years were spent,molten rock and metal.
(.*)due to (.*),"Due to plate tectonics, the continents changed their shapes and positions during Earth history.",,"plate tectonics, the continents changed their shapes and positions during Earth history."
(.*?) so (.*),"As the continents changed, so did the oceans.","As the continents changed,",did the oceans.
(.*?) as (.*),"About 250 million years ago, there was one huge land mass known as Pangaea.","About 250 million years ago, there was one huge land mass known",Pangaea.
(.*?)(?:by|through) (.*),"By 180 million years ago, Pangaea began to break up.",,"180 million years ago, Pangaea began to break up."
(.*?) as (.*),"These oceans are now known as the Pacific, Atlantic, Indian, and Arctic Oceans.",These oceans are now known,"the Pacific, Atlantic, Indian, and Arctic Oceans."
(.*) based on (.*),There are three main ocean zones based on distance from shore.,There are three main ocean zones,distance from shore.
(.*) based on (.*),Two main zones based on depth of water are the photic zone and aphotic zone.,Two main zones,depth of water are the photic zone and aphotic zone.
(.*?) because (.*),Thats because sunlight cannot penetrate very far under water.,Thats,sunlight cannot penetrate very far under water.
(.*?) for (.*),Sunlight is needed for photosynthesis.,Sunlight is needed,photosynthesis.
(.*?) for (.*),There is enough sunlight for photosynthesis only in the photic zone.,There is enough sunlight,photosynthesis only in the photic zone.
(.*?) as (.*),Water also gets colder as you go deeper.,Water also gets colder,you go deeper.
(.*?) as (.*),The weight of the water pressing down from above increases as well.,The weight of the water pressing down from above increases,well.
(.*) so (.*?) that (.*),The pressure is so great that only specially adapted creatures can live there.,The pressure is,great,only specially adapted creatures can live there.
(.*)if (.*?) then (.*),"If you have, then you probably tasted the salts in the water.",,"you have,",you probably tasted the salts in the water.
(.*?)(?:by|through) (.*),"By mass, salts make up about 3.5 percent of ocean water.",,"mass, salts make up about 3.5 percent of ocean water."
(.*?) as (.*),Together they form the salt known as sodium chloride.,Together they form the salt known,sodium chloride.
(.*?) as (.*),You may know the compound as table salt or the mineral halite.,You may know the compound,table salt or the mineral halite.
(.*?) because (.*),Thats because river water contains less salt than ocean water.,Thats,river water contains less salt than ocean water.
(.*) based on (.*),Oceans are divided into zones based on these two factors.,Oceans are divided into zones,these two factors.
(.*?) because (.*),Ocean water is salty because water dissolves minerals out of rocks.,Ocean water is salty,water dissolves minerals out of rocks.
(.*?)(?:by|through) (.*),This happens whenever water flows over or through rocks.,This happens whenever water flows over or ,rocks.
(.*) result(.*?)is (.*),"As a result, ocean water is much saltier than other water on Earth.",As a,", ocean water ",much saltier than other water on Earth.
(.*?) because (.*),Thats because land near an ocean is influenced by the temperature of the oceans.,Thats,land near an ocean is influenced by the temperature of the oceans.
(.*?) as (.*),"As a result, oceans never get as hot or as cold as land.","As a result, oceans never get",hot or as cold as land.
(.*?)(?:by|through) (.*),Water flows through all the worlds oceans.,Water flows ,all the worlds oceans.
(.*) because of (.*),Even inland temperatures are milder because of oceans.,Even inland temperatures are milder,oceans.
(.*?) as (.*),Life as we know,Life,we know
(.*?)(?:by|through) (.*),Precipitation provides the freshwater needed by plants and other living things.,Precipitation provides the freshwater needed ,plants and other living things.
(.*?)(?:by|through) (.*),Oxygen is needed by living things in the oceans.,Oxygen is needed ,living things in the oceans.
(.*?)(?:by|through) (.*),"By absorbing carbon dioxide, the oceans help control global warming.",,"absorbing carbon dioxide, the oceans help control global warming."
(.*?)(?:by|through) (.*),Deep currents are caused by differences in density at the top and bottom.,Deep currents are caused ,differences in density at the top and bottom.
(.*?) as (.*),Density is defined as the amount of mass per unit of volume.,Density is defined,the amount of mass per unit of volume.
(.*?) so (.*),"This cold, salty water is very dense, so it sinks to the bottom of the North Atlantic.","This cold, salty water is very dense,",it sinks to the bottom of the North Atlantic.
(.*?)(?:by|through) (.*),This water circulates through all of the ocean basins in deep currents.,This water circulates ,all of the ocean basins in deep currents.
(.*?) so (.*),Why is deep water so full of nutrients?,Why is deep water,full of nutrients?
(.*?)(?:by|through) (.*),The nutrient-rich water that comes to the surface by upwelling supports many living things.,The nutrient-rich water that comes to the surface ,upwelling supports many living things.
(.*?)(?:by|through) (.*),Large ocean currents can have a big impact on the climate of nearby coasts.,Large ocean currents can have a big impact on the climate of near,coasts.
(.*?) for (.*),"The Gulf Stream, for example, carries warm water from near the equator up the eastern coast of North America.","The Gulf Stream,","example, carries warm water from near the equator up the eastern coast of North America."
(.*) because of (.*),Thats because of differences in the temperature of air masses over Earths surface.,Thats,differences in the temperature of air masses over Earths surface.
(.*?) as (.*),But Earth is spinning on its axis underneath the wind and water as they move.,But Earth is spinning on its axis underneath the wind and water,they move.
(.*) (?:effect|effects) of (.*?) (?:is|was) (.*),This effect of Earths rotation on the direction of winds and currents is called the Coriolis effect.,This,Earths rotation on the direction of winds and currents,called the Coriolis effect.
(.*) result(.*?)is (.*),As a result: Water on the side of Earth facing the Moon is pulled hardest by the Moons gravity.,As a,: Water on the side of Earth facing the Moon ,pulled hardest by the Moons gravity.
(.*?)(?:by|through) (.*),Earth itself is pulled harder by the Moons gravity than is the ocean on the side of Earth opposite the Moon.,Earth itself is pulled harder ,the Moons gravity than is the ocean on the side of Earth opposite the Moon.
(.*) result(.*?)is (.*),"As a result, there is bulge of water on the opposite side of Earth.",As a,", there ",bulge of water on the opposite side of Earth.
(.*?)(?:by|through) (.*),A current is a stream of moving water that flows through the ocean.,A current is a stream of moving water that flows ,the ocean.
(.*?)(?:by|through) (.*),"Surface currents are caused mainly by winds, but not the winds that blow and change each day.",Surface currents are caused mainly ,"winds, but not the winds that blow and change each day."
(.*?)(?:by|through) (.*),Surface currents are caused by the major wind belts that blow in the same direction all the time.,Surface currents are caused ,the major wind belts that blow in the same direction all the time.
(.*?) because (.*),"Even though the Sun is much larger than the Moon, the pull of the Suns gravity is much less because the Sun is much farther away.","Even though the Sun is much larger than the Moon, the pull of the Suns gravity is much less",the Sun is much farther away.
(.*?) so (.*),Their gravity pulls on the oceans in different directions so the highs and lows are not as great.,Their gravity pulls on the oceans in different directions,the highs and lows are not as great.
(.*?) for (.*),The winds also travel over long distances and may last for many days.,The winds also travel over long distances and may last,many days.
(.*?)(?:by|through) (.*),Most ocean waves are caused by winds.,Most ocean waves are caused ,winds.
(.*?)(?:by|through) (.*),A wave is the transfer of energy through matter.,A wave is the transfer of energy ,matter.
(.*?)(?:by|through) (.*),Ocean waves transfer energy from wind through water.,Ocean waves transfer energy from wind ,water.
(.*?) for (.*),The energy of a wave may travel for thousands of miles.,The energy of a wave may travel,thousands of miles.
(.*?)(?:by|through) (.*),Not all waves are caused by winds.,Not all waves are caused ,winds.
(.*?)(?:by|through) (.*),A shock to the ocean can also send waves through water.,A shock to the ocean can also send waves ,water.
(.*?)(?:by|through) (.*),A tsunami is a wave or set of waves that is usually caused by an earthquake.,A tsunami is a wave or set of waves that is usually caused ,an earthquake.
(.*?)(?:by|through) (.*),Usually tsunami waves travel through the ocean unnoticed.,Usually tsunami waves travel ,the ocean unnoticed.
(.*?) as (.*),They get steeper and unstable as the top moves faster than the base.,They get steeper and unstable,the top moves faster than the base.
(.*?) for (.*),"In 2012, the film director, James Cameron, dove to the bottom of the Mariana Trench by himself in a submersible that he had built for the purpose.","In 2012, the film director, James Cameron, dove to the bottom of the Mariana Trench by himself in a submersible that he had built",the purpose.
(.*?) for (.*),People can stay underwater for up to 9 hours.,People can stay underwater,up to 9 hours.
(.*?) for (.*),Alvin has been essential for developing a scientific understanding the worlds oceans.,Alvin has been essential,developing a scientific understanding the worlds oceans.
(.*?) as (.*),Seamounts that rise above the water surface are known as islands.,Seamounts that rise above the water surface are known,islands.
(.*?)(?:by|through) (.*),The mid-ocean ridge is a mountain range that runs through all the worlds oceans.,The mid-ocean ridge is a mountain range that runs ,all the worlds oceans.
(.*?)(?:by|through) (.*),Magma erupts through the ocean floor to make new seafloor.,Magma erupts ,the ocean floor to make new seafloor.
(.*?) for (.*),Some from shallow water are used by people for food.,Some from shallow water are used by people,food.
(.*?) because (.*),"If you did, thats because the sound waves bounced off a hard surface and back to you.","If you did, thats",the sound waves bounced off a hard surface and back to you.
(.*?)(?:by|through) (.*),Sound waves travel through water at a known speed.,Sound waves travel ,water at a known speed.
(.*?) for (.*),This is risky for workers on the rigs.,This is risky,workers on the rigs.
(.*?) for (.*),It is also risky for the ocean and its living things.,It is also risky,the ocean and its living things.
(.*?) for (.*),Oil poured into the water for several months.,Oil poured into the water,several months.
(.*?)(?:by|through) (.*),"Some are released in hot water through vents, or cracks, in the seafloor.",Some are released in hot water ,"vents, or cracks, in the seafloor."
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),This means that mining them would be too expensive and not worth the effort.,This,that mining them would be too expensive and not worth the effort.
(.*?) as (.*),Nodules may be tiny or as big as basketballs.,Nodules may be tiny or,big as basketballs.
(.*?) as (.*),As many as 500 billion tons of nodules lie on the ocean floor!,As many,500 billion tons of nodules lie on the ocean floor!
(.*?)(?:by|through) (.*),They use sunlight and nutrients to make food by photosynthesis.,They use sunlight and nutrients to make food ,photosynthesis.
(.*?) for (.*),"In an unusual relationship, some enormous whales depend on plankton for their food.","In an unusual relationship, some enormous whales depend on plankton",their food.
(.*?) since (.*),These organisms do not do photosynthesis since there is no light at the vents.,These organisms do not do photosynthesis,there is no light at the vents.
(.*?) for (.*),Some benthic organisms burrow into sediments for food or protection.,Some benthic organisms burrow into sediments,food or protection.
